  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.82304616            0.00000000        2276.12983954           -0.90903263         2275.22080691 
  5.0000e-15           99.43006643            0.00000000        2267.16925470           -0.89481903         2266.27443566 
  1.0000e-14           98.77588380            0.00000000        2252.25281323           -0.87973108         2251.37308215 
  1.5000e-14           97.86274191            0.00000000        2231.43167453           -0.86382152         2230.56785301 
  2.0000e-14           96.69420692            0.00000000        2204.78715238           -0.84715771         2203.93999467 
  2.5000e-14           95.27544708            0.00000000        2172.43709170           -0.82982196         2171.60726974 
  3.0000e-14           93.61359318            0.00000000        2134.54408609           -0.81191170         2133.73217439 
  3.5000e-14           91.71817531            0.00000000        2091.32543719           -0.79353941         2090.53189778 
  4.0000e-14           89.60162563            0.00000000        2043.06461894           -0.77483214         2042.28978679 
  4.5000e-14           87.27982724            0.00000000        1990.12379217           -0.75593085         1989.36786132 
  5.0000e-14           84.77267539            0.00000000        1932.95660142           -0.73698924         1932.21961218 
  5.5000e-14           82.10459940            0.00000000        1872.12007501           -0.71817233         1871.40190268 
  6.0000e-14           79.30497260            0.00000000        1808.28397361           -0.69965451         1807.58431909 
  6.5000e-14           76.40831815            0.00000000        1742.23548195           -0.68161734         1741.55386462 
  7.0000e-14           73.45420664            0.00000000        1674.87687468           -0.66424683         1674.21262785 
  7.5000e-14           70.48674794            0.00000000        1607.21392950           -0.64773057         1606.56619894 
  8.0000e-14           67.55361228            0.00000000        1540.33360634           -0.63225439         1539.70135195 
  8.5000e-14           64.70457698            0.00000000        1475.37090963           -0.61799899         1474.75291064 
  9.0000e-14           61.98967523            0.00000000        1413.46667893           -0.60513631         1412.86154262 
  9.5000e-14           59.45710104            0.00000000        1355.71981680           -0.59382603         1355.12599077 
  1.0000e-13           57.15107350            0.00000000        1303.13859138           -0.58421207         1302.55437931 
  1.0500e-13           55.10987046            0.00000000        1256.59580053           -0.57641936         1256.01938117 
  1.1000e-13           53.36420805            0.00000000        1216.79182305           -0.57055097         1216.22127208 
  1.1500e-13           51.93608655            0.00000000        1184.22830089           -0.56668565         1183.66161523 
  1.2000e-13           50.83816250            0.00000000        1159.19382452           -0.56487594         1158.62894858 
  1.2500e-13           50.07365433            0.00000000        1141.76177931           -0.56514689         1141.19663242 
  1.3000e-13           49.63674418            0.00000000        1131.79950848           -0.56749542         1131.23201305 
  1.3500e-13           49.51340384            0.00000000        1128.98714557           -0.57189045         1128.41525512 
  1.4000e-13           49.68254684            0.00000000        1132.84388447           -0.57827361         1132.26561086 
  1.4500e-13           50.11739509            0.00000000        1142.75914071           -0.58656065         1142.17258006 
  1.5000e-13           50.78694778            0.00000000        1158.02604452           -0.59664350         1157.42940102 
  1.5500e-13           51.65745157            0.00000000        1177.87496458           -0.60839274         1177.26657184 
  1.6000e-13           52.69379097            0.00000000        1201.50520949           -0.62166061         1200.88354887 
  1.6500e-13           53.86074066            0.00000000        1228.11358424           -0.63628426         1227.47729998 
  1.7000e-13           55.12404482            0.00000000        1256.91899934           -0.65208922         1256.26691012 
  1.7500e-13           56.45130757            0.00000000        1287.18277572           -0.66889299         1286.51388272 
  1.8000e-13           57.81269408            0.00000000        1318.22463025           -0.68650863         1317.53812162 
  1.8500e-13           59.18145184            0.00000000        1349.43456110           -0.70474812         1348.72981298 
  1.9000e-13           60.53426772            0.00000000        1380.28099101           -0.72342566         1379.55756535 
  1.9500e-13           61.85147952            0.00000000        1410.31558916           -0.74236058         1409.57322858 
  2.0000e-13           63.11716037            0.00000000        1439.17519682           -0.76137996         1438.41381686 
  2.0500e-13           64.31909323            0.00000000        1466.58124537           -0.78032087         1465.80092450 
  2.1000e-13           65.44864973            0.00000000        1492.33699374           -0.79903220         1491.53796154 
  2.1500e-13           66.50058459            0.00000000        1516.32284083           -0.81737607         1515.50546476 
  2.2000e-13           67.47275411            0.00000000        1538.48990685           -0.83522892         1537.65467793 
  2.2500e-13           68.36576579            0.00000000        1558.85204371           -0.85248213         1557.99956158 
  2.3000e-13           69.18256663            0.00000000        1577.47644798           -0.86904234         1576.60740564 
  2.3500e-13           69.92798097            0.00000000        1594.47312241           -0.88483146         1593.58829095 
  2.4000e-13           70.60821430            0.00000000        1609.98356256           -0.89978642         1609.08377614 
  2.4500e-13           71.23034709            0.00000000        1624.16921476           -0.91385864         1623.25535612 
  2.5000e-13           71.80184970            0.00000000        1637.20041531           -0.92701336         1636.27340195 
  2.5500e-13           72.33015357            0.00000000        1649.24661358           -0.93922883         1648.30738475 
  2.6000e-13           72.82231203            0.00000000        1660.46863708           -0.95049532         1659.51814176 
  2.6500e-13           73.28477426            0.00000000        1671.01353751           -0.96081412         1670.05272339 
  2.7000e-13           73.72327989            0.00000000        1681.01218789           -0.97019650         1680.04199139 
  2.7500e-13           74.14286289            0.00000000        1690.57937129           -0.97866258         1689.60070871 
  2.8000e-13           74.54793734            0.00000000        1699.81573590           -0.98624026         1698.82949564 
  2.8500e-13           74.94242885            0.00000000        1708.81079189           -0.99296415         1707.81782774 
  2.9000e-13           75.32991569            0.00000000        1717.64612997           -0.99887452         1716.64725545 
  2.9500e-13           75.71375125            0.00000000        1726.39821291           -1.00401631         1725.39419660 
  3.0000e-13           76.09715048            0.00000000        1735.14034665           -1.00843820         1734.13190846 
  3.0500e-13           76.48323420            0.00000000        1743.94369135           -1.01219165         1742.93149971 
  3.1000e-13           76.87503393            0.00000000        1752.87737024           -1.01533013         1751.86204011 
  3.1500e-13           77.27546492            0.00000000        1762.00785636           -1.01790829         1760.98994807 
  3.2000e-13           77.68727807            0.00000000        1771.39787419           -1.01998126         1770.37789293 
  3.2500e-13           78.11300133            0.00000000        1781.10506558           -1.02160396         1780.08346162 
  3.3000e-13           78.55488125            0.00000000        1791.18065554           -1.02283047         1790.15782507 
  3.3500e-13           79.01483354            0.00000000        1801.66832530           -1.02371352         1800.64461178 
  3.4000e-13           79.49441007            0.00000000        1812.60345986           -1.02430392         1811.57915594 
  3.4500e-13           79.99478732            0.00000000        1824.01288521           -1.02465017         1822.98823504 
  3.5000e-13           80.51677849            0.00000000        1835.91514341           -1.02479799         1834.89034542 
  3.5500e-13           81.06086767            0.00000000        1848.32127264           -1.02479003         1847.29648261 
  3.6000e-13           81.62726072            0.00000000        1861.23596709           -1.02466553         1860.21130156 
  3.6500e-13           82.21594329            0.00000000        1874.65889908           -1.02446008         1873.63443899 
